rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-06,AFTERNOON,2PM - 4PM,602.6,104,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,BREAKFAST,Open - 10:30AM (11AM weekend),959.26,224,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,DINNER,4PM - 9PM,1591.47,248,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,EVENING,9PM - Close,293.84,41,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,LATE NIGHT,11PM - 5AM,0.0,0,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,LUNCH,11AM -  2PM,922.97,164,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,MORNING,Open - 11AM,1050.4,242,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,REGULAR MENU,10:30AM (11AM weekend) - Close,3502.02,575,Thursday
1364,SEA/TCA WA CP-0024,2011-01-06,TOTAL DAY,All hours,4461.28,799,Thursday
1364,SEA/TCA WA CP-0024,2011-01-07,AFTER 4PM,4PM - Close,2084.13,316,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,AFTERNOON,2PM - 4PM,745.88,124,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,BREAKFAST,Open - 10:30AM (11AM weekend),975.27,243,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,DINNER,4PM - 9PM,1659.6,246,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,EVENING,9PM - Close,424.53,70,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,LATE NIGHT,11PM - 5AM,162.32,23,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,LUNCH,11AM -  2PM,945.13,174,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,MORNING,Open - 11AM,1047.24,253,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,REGULAR MENU,10:30AM (11AM weekend) - Close,3847.11,624,Friday
1364,SEA/TCA WA CP-0024,2011-01-07,TOTAL DAY,All hours,4822.38,867,Friday
1364,SEA/TCA WA CP-0024,2011-01-08,AFTER 4PM,4PM - Close,1481.14,245,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,AFTERNOON,2PM - 4PM,545.35,88,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,BREAKFAST,Open - 10:30AM (11AM weekend),1320.01,230,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,DINNER,4PM - 9PM,1028.63,172,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,EVENING,9PM - Close,452.51,73,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,LATE NIGHT,11PM - 5AM,82.43,17,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,LUNCH,11AM -  2PM,1140.59,186,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,MORNING,Open - 11AM,1320.01,230,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,REGULAR MENU,10:30AM (11AM weekend) - Close,3167.08,519,Saturday
1364,SEA/TCA WA CP-0024,2011-01-08,TOTAL DAY,All hours,4487.09,749,Saturday
1364,SEA/TCA WA CP-0024,2011-01-09,AFTER 4PM,4PM - Close,399.18,62,Sunday
